Pertanyaan,Jawaban
"Siapa MULTI CITRA KSO?","MULTI CITRA KSO adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di Jawa Barat. Kode SBU: BS002."
"Bagaimana status rekanan MULTI CITRA KSO?","MULTI CITRA KSO memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha MULTI CITRA KSO?","MULTI CITRA KSO bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi (TEKNOLOGI INFORMASI / IT)."
"Dimana lokasi atau provinsi MULTI CITRA KSO?","MULTI CITRA KSO berlokasi di Jawa Barat."
"Apa kualifikasi perusahaan untuk MULTI CITRA KSO?","Kualifikasi perusahaan MULTI CITRA KSO adalah PT."
"Siapa KAPUAS MUSI MADELYN?","KAPUAS MUSI MADELYN adalah vendor dengan status Registered, kualifikasi CV, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di Sumatera Selatan. Kode SBU: PL003."
"Bagaimana status rekanan KAPUAS MUSI MADELYN?","KAPUAS MUSI MADELYN memiliki status rekanan Registered."
"Apa bidang usaha KAPUAS MUSI MADELYN?","KAPUAS MUSI MADELYN bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi (Tidak diketahui)."
"Dimana lokasi atau provinsi KAPUAS MUSI MADELYN?","KAPUAS MUSI MADELYN berlokasi di Sumatera Selatan."
"Apa kualifikasi perusahaan untuk KAPUAS MUSI MADELYN?","Kualifikasi perusahaan KAPUAS MUSI MADELYN adalah CV."
"Siapa TIMUR PERKASA?","TIMUR PERKASA adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, kualifikasi CV, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta. Kode SBU: BS004."
"Bagaimana status rekanan TIMUR PERKASA?","TIMUR PERKASA memiliki status rekanan Calon Rekanan Waskita Approved Level 1."
"Apa bidang usaha TIMUR PERKASA?","TIMUR PERKASA bergerak di bidang Sub Kontraktor Kecil dan Menengah (GALIAN & TIMBUNAN, SUBKON ;)."
"Dimana lokasi atau provinsi TIMUR PERKASA?","TIMUR PERKASA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk TIMUR PERKASA?","Kualifikasi perusahaan TIMUR PERKASA adalah CV."
"Siapa UOLA PANDAWA SEJAHTERA?","UOLA PANDAWA SEJAHTERA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Sub Kontraktor Besar, berlokasi di DKI Jakarta. Kode SBU: IN001."
"Bagaimana status rekanan UOLA PANDAWA SEJAHTERA?","UOLA PANDAWA SEJAHTERA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha UOLA PANDAWA SEJAHTERA?","UOLA PANDAWA SEJAHTERA bergerak di bidang Sub Kontraktor Besar (GALIAN & TIMBUNAN, SUBKON ;)."
"Dimana lokasi atau provinsi UOLA PANDAWA SEJAHTERA?","UOLA PANDAWA SEJAHTERA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk UOLA PANDAWA SEJAHTERA?","Kualifikasi perusahaan UOLA PANDAWA SEJAHTERA adalah PT."
"Siapa JACKING PILE PRATAMA?","JACKING PILE PRATAMA adalah vendor dengan status Rekanan Terseleksi Waskita, kualifikasi CV, di bidang Supplier Menengah, berlokasi di Jawa Tengah. Kode SBU: KK001."
"Bagaimana status rekanan JACKING PILE PRATAMA?","JACKING PILE PRATAMA memiliki status rekanan Rekanan Terseleksi Waskita."
"Apa bidang usaha JACKING PILE PRATAMA?","JACKING PILE PRATAMA bergerak di bidang Supplier Menengah (ALAT & MATERIAL BANTU PROYEK, SUPPLIER)."
"Dimana lokasi atau provinsi JACKING PILE PRATAMA?","JACKING PILE PRATAMA berlokasi di Jawa Tengah."
"Apa kualifikasi perusahaan untuk JACKING PILE PRATAMA?","Kualifikasi perusahaan JACKING PILE PRATAMA adalah CV."
"Siapa CV JUHD SHADIQ MAKMUR?","CV JUHD SHADIQ MAKMUR adalah vendor dengan status Rekanan Terseleksi Waskita, kualifikasi PT, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta. Kode SBU: BS004."
"Bagaimana status rekanan CV JUHD SHADIQ MAKMUR?","CV JUHD SHADIQ MAKMUR memiliki status rekanan Rekanan Terseleksi Waskita."
"Apa bidang usaha CV JUHD SHADIQ MAKMUR?","CV JUHD SHADIQ MAKMUR bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi (TEKNOLOGI INFORMASI / IT)."
"Dimana lokasi atau provinsi CV JUHD SHADIQ MAKMUR?","CV JUHD SHADIQ MAKMUR berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk CV JUHD SHADIQ MAKMUR?","Kualifikasi perusahaan CV JUHD SHADIQ MAKMUR adalah PT."
"Siapa Bumi Beam Center?","Bumi Beam Center adalah vendor dengan status Unverified, kualifikasi PT, di bidang Sewa Alat,, berlokasi di Kalimantan Timur. Kode SBU: BG003."
"Bagaimana status rekanan Bumi Beam Center?","Bumi Beam Center memiliki status rekanan Unverified."
"Apa bidang usaha Bumi Beam Center?","Bumi Beam Center bergerak di bidang Sewa Alat, (Tidak diketahui)."
"Dimana lokasi atau provinsi Bumi Beam Center?","Bumi Beam Center berlokasi di Kalimantan Timur."
"Apa kualifikasi perusahaan untuk Bumi Beam Center?","Kualifikasi perusahaan Bumi Beam Center adalah PT."
"Siapa WAKIDS MANDIRI?","WAKIDS MANDIRI adalah vendor dengan status Unverified, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Sumatera Utara. Kode SBU: BS001."
"Bagaimana status rekanan WAKIDS MANDIRI?","WAKIDS MANDIRI memiliki status rekanan Unverified."
"Apa bidang usaha WAKIDS MANDIRI?","WAKIDS MANDIRI bergerak di bidang Sub Kontraktor Kecil dan Menengah (AIR CONDITIONING / AC & FAN, SUPPLIER)."
"Dimana lokasi atau provinsi WAKIDS MANDIRI?","WAKIDS MANDIRI berlokasi di Sumatera Utara."
"Apa kualifikasi perusahaan untuk WAKIDS MANDIRI?","Kualifikasi perusahaan WAKIDS MANDIRI adalah PT."
"Siapa SUMBER NUSANTARA ADITYA PRATAMA?","SUMBER NUSANTARA ADITYA PRATAMA adalah vendor dengan status Unverified, kualifikasi PT, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta. Kode SBU: PL003."
"Bagaimana status rekanan SUMBER NUSANTARA ADITYA PRATAMA?","SUMBER NUSANTARA ADITYA PRATAMA memiliki status rekanan Unverified."
"Apa bidang usaha SUMBER NUSANTARA ADITYA PRATAMA?","SUMBER NUSANTARA ADITYA PRATAMA bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi (Tidak diketahui)."
"Dimana lokasi atau provinsi SUMBER NUSANTARA ADITYA PRATAMA?","SUMBER NUSANTARA ADITYA PRATAMA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk SUMBER NUSANTARA ADITYA PRATAMA?","Kualifikasi perusahaan SUMBER NUSANTARA ADITYA PRATAMA adalah PT."
"Siapa CV CIPTA PRIMA ENGINEERING?","CV CIPTA PRIMA ENGINEERING adalah vendor dengan status Registered, kualifikasi PT, di bidang Tidak diketahui, berlokasi di DI Aceh. Kode SBU: RK001."
"Bagaimana status rekanan CV CIPTA PRIMA ENGINEERING?","CV CIPTA PRIMA ENGINEERING memiliki status rekanan Registered."
"Apa bidang usaha CV CIPTA PRIMA ENGINEERING?","CV CIPTA PRIMA ENGINEERING bergerak di bidang Tidak diketahui (Tidak diketahui)."
"Dimana lokasi atau provinsi CV CIPTA PRIMA ENGINEERING?","CV CIPTA PRIMA ENGINEERING berlokasi di DI Aceh."
"Apa kualifikasi perusahaan untuk CV CIPTA PRIMA ENGINEERING?","Kualifikasi perusahaan CV CIPTA PRIMA ENGINEERING adalah PT."
"Siapa SUN UTAMA KONSTRUKSI?","SUN UTAMA KONSTRUKSI adalah vendor dengan status Unverified, kualifikasi PT, di bidang Supplier Besar,, berlokasi di DKI Jakarta. Kode SBU: BS001."
"Bagaimana status rekanan SUN UTAMA KONSTRUKSI?","SUN UTAMA KONSTRUKSI memiliki status rekanan Unverified."
"Apa bidang usaha SUN UTAMA KONSTRUKSI?","SUN UTAMA KONSTRUKSI bergerak di bidang Supplier Besar, (RUBBER SPECIALIST, SUBKON ;)."
"Dimana lokasi atau provinsi SUN UTAMA KONSTRUKSI?","SUN UTAMA KONSTRUKSI berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk SUN UTAMA KONSTRUKSI?","Kualifikasi perusahaan SUN UTAMA KONSTRUKSI adalah PT."
"Siapa JAYA SOLUSI CEMERLANG?","JAYA SOLUSI CEMERLANG adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Barat. Kode SBU: BS009."
"Bagaimana status rekanan JAYA SOLUSI CEMERLANG?","JAYA SOLUSI CEMERLANG memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha JAYA SOLUSI CEMERLANG?","JAYA SOLUSI CEMERLANG bergerak di bidang Sub Kontraktor Kecil dan Menengah (BEKISTING / FORMWORK INFRASTRUCTURE, SUBKON)."
"Dimana lokasi atau provinsi JAYA SOLUSI CEMERLANG?","JAYA SOLUSI CEMERLANG berlokasi di Jawa Barat."
"Apa kualifikasi perusahaan untuk JAYA SOLUSI CEMERLANG?","Kualifikasi perusahaan JAYA SOLUSI CEMERLANG adalah PT."
"Siapa CIPTA MARGA MANDIRI?","CIPTA MARGA MANDIRI adalah vendor dengan status Unverified, kualifikasi PT, di bidang Supplier Menengah, berlokasi di Jawa Barat. Kode SBU: BS009."
"Bagaimana status rekanan CIPTA MARGA MANDIRI?","CIPTA MARGA MANDIRI memiliki status rekanan Unverified."
"Apa bidang usaha CIPTA MARGA MANDIRI?","CIPTA MARGA MANDIRI bergerak di bidang Supplier Menengah (ELECTRICAL PANELS ( HV , MV , LV ), SUPPLIER)."
"Dimana lokasi atau provinsi CIPTA MARGA MANDIRI?","CIPTA MARGA MANDIRI berlokasi di Jawa Barat."
"Apa kualifikasi perusahaan untuk CIPTA MARGA MANDIRI?","Kualifikasi perusahaan CIPTA MARGA MANDIRI adalah PT."
"Siapa PRIMA PONDASI PERKASA?","PRIMA PONDASI PERKASA adalah vendor dengan status Unverified, kualifikasi CV, di bidang Sub Kontraktor, berlokasi di Kalimantan Tengah Ce. Kode SBU: KK001."
"Bagaimana status rekanan PRIMA PONDASI PERKASA?","PRIMA PONDASI PERKASA memiliki status rekanan Unverified."
"Apa bidang usaha PRIMA PONDASI PERKASA?","PRIMA PONDASI PERKASA bergerak di bidang Sub Kontraktor (Tidak diketahui)."
"Dimana lokasi atau provinsi PRIMA PONDASI PERKASA?","PRIMA PONDASI PERKASA berlokasi di Kalimantan Tengah Ce."
"Apa kualifikasi perusahaan untuk PRIMA PONDASI PERKASA?","Kualifikasi perusahaan PRIMA PONDASI PERKASA adalah CV."
"Siapa RAJA MUDA ABADI?","RAJA MUDA ABADI adalah vendor dengan status Registered, kualifikasi CV, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Timur. Kode SBU: BS016."
"Bagaimana status rekanan RAJA MUDA ABADI?","RAJA MUDA ABADI memiliki status rekanan Registered."
"Apa bidang usaha RAJA MUDA ABADI?","RAJA MUDA ABADI bergerak di bidang Sub Kontraktor Kecil dan Menengah (PAGAR PEMBATAS TOL / JALAN, SUBKON)."
"Dimana lokasi atau provinsi RAJA MUDA ABADI?","RAJA MUDA ABADI berlokasi di Jawa Timur."
"Apa kualifikasi perusahaan untuk RAJA MUDA ABADI?","Kualifikasi perusahaan RAJA MUDA ABADI adalah CV."
"Siapa TATA KREASINDO JAYA?","TATA KREASINDO JAYA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Supplier Menengah, berlokasi di Banten. Kode SBU: BS008."
"Bagaimana status rekanan TATA KREASINDO JAYA?","TATA KREASINDO JAYA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha TATA KREASINDO JAYA?","TATA KREASINDO JAYA bergerak di bidang Supplier Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi TATA KREASINDO JAYA?","TATA KREASINDO JAYA berlokasi di Banten."
"Apa kualifikasi perusahaan untuk TATA KREASINDO JAYA?","Kualifikasi perusahaan TATA KREASINDO JAYA adalah PT."
"Siapa CV KING MAKMUR SENTOSA?","CV KING MAKMUR SENTOSA adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, kualifikasi PT, di bidang Supplier, berlokasi di Banten. Kode SBU: BG009."
"Bagaimana status rekanan CV KING MAKMUR SENTOSA?","CV KING MAKMUR SENTOSA memiliki status rekanan Calon Rekanan Waskita Approved Level 1."
"Apa bidang usaha CV KING MAKMUR SENTOSA?","CV KING MAKMUR SENTOSA bergerak di bidang Supplier (Tidak diketahui)."
"Dimana lokasi atau provinsi CV KING MAKMUR SENTOSA?","CV KING MAKMUR SENTOSA berlokasi di Banten."
"Apa kualifikasi perusahaan untuk CV KING MAKMUR SENTOSA?","Kualifikasi perusahaan CV KING MAKMUR SENTOSA adalah PT."
"Siapa JAYA MEGAH KENCANA?","JAYA MEGAH KENCANA adalah vendor dengan status Rekanan Terseleksi Waskita, kualifikasi PT, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta. Kode SBU: BS005."
"Bagaimana status rekanan JAYA MEGAH KENCANA?","JAYA MEGAH KENCANA memiliki status rekanan Rekanan Terseleksi Waskita."
"Apa bidang usaha JAYA MEGAH KENCANA?","JAYA MEGAH KENCANA bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi (KONSULTAN MANAJEMEN & BISNIS)."
"Dimana lokasi atau provinsi JAYA MEGAH KENCANA?","JAYA MEGAH KENCANA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk JAYA MEGAH KENCANA?","Kualifikasi perusahaan JAYA MEGAH KENCANA adalah PT."
"Siapa BANGKA CAKRA KARYA?","BANGKA CAKRA KARYA adalah vendor dengan status Unverified, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Barat. Kode SBU: BS002."
"Bagaimana status rekanan BANGKA CAKRA KARYA?","BANGKA CAKRA KARYA memiliki status rekanan Unverified."
"Apa bidang usaha BANGKA CAKRA KARYA?","BANGKA CAKRA KARYA bergerak di bidang Sub Kontraktor Kecil dan Menengah (SANDWICH PANEL, SUBKON)."
"Dimana lokasi atau provinsi BANGKA CAKRA KARYA?","BANGKA CAKRA KARYA berlokasi di Jawa Barat."
"Apa kualifikasi perusahaan untuk BANGKA CAKRA KARYA?","Kualifikasi perusahaan BANGKA CAKRA KARYA adalah PT."
"Siapa Daya Prima?","Daya Prima adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, kualifikasi PT, di bidang Supplier Besar, berlokasi di Jawa Barat. Kode SBU: BG002."
"Bagaimana status rekanan Daya Prima?","Daya Prima memiliki status rekanan Calon Rekanan Waskita Approved Level 1."
"Apa bidang usaha Daya Prima?","Daya Prima bergerak di bidang Supplier Besar (Tidak diketahui)."
"Dimana lokasi atau provinsi Daya Prima?","Daya Prima berlokasi di Jawa Barat."
"Apa kualifikasi perusahaan untuk Daya Prima?","Kualifikasi perusahaan Daya Prima adalah PT."
"Siapa KARSA BUANA LESTARI?","KARSA BUANA LESTARI adalah vendor dengan status Registered, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Sulawesi Selatan. Kode SBU: RK005."
"Bagaimana status rekanan KARSA BUANA LESTARI?","KARSA BUANA LESTARI memiliki status rekanan Registered."
"Apa bidang usaha KARSA BUANA LESTARI?","KARSA BUANA LESTARI bergerak di bidang Sub Kontraktor Kecil dan Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi KARSA BUANA LESTARI?","KARSA BUANA LESTARI berlokasi di Sulawesi Selatan."
"Apa kualifikasi perusahaan untuk KARSA BUANA LESTARI?","Kualifikasi perusahaan KARSA BUANA LESTARI adalah PT."
"Siapa KOKOH SEMESTA?","KOKOH SEMESTA adalah vendor dengan status Registered, kualifikasi PT, di bidang Sub Kontraktor Besar, berlokasi di DKI Jakarta. Kode SBU: IN003."
"Bagaimana status rekanan KOKOH SEMESTA?","KOKOH SEMESTA memiliki status rekanan Registered."
"Apa bidang usaha KOKOH SEMESTA?","KOKOH SEMESTA bergerak di bidang Sub Kontraktor Besar (Tidak diketahui)."
"Dimana lokasi atau provinsi KOKOH SEMESTA?","KOKOH SEMESTA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk KOKOH SEMESTA?","Kualifikasi perusahaan KOKOH SEMESTA adalah PT."
"Siapa MEGA KENCANA?","MEGA KENCANA adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, kualifikasi PT, di bidang Sewa Alat, berlokasi di DKI Jakarta. Kode SBU: BG002."
"Bagaimana status rekanan MEGA KENCANA?","MEGA KENCANA memiliki status rekanan Calon Rekanan Waskita Approved Level 1."
"Apa bidang usaha MEGA KENCANA?","MEGA KENCANA bergerak di bidang Sewa Alat (EXCAVATOR & EXCAVATOR LONG ARM, SEWA ;)."
"Dimana lokasi atau provinsi MEGA KENCANA?","MEGA KENCANA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk MEGA KENCANA?","Kualifikasi perusahaan MEGA KENCANA adalah PT."
"Siapa CAHAYA INTI CEMERLANG LAMPUNG?","CAHAYA INTI CEMERLANG LAMPUNG adalah vendor dengan status Registered, kualifikasi CV, di bidang Supplier Menengah,, berlokasi di Banten. Kode SBU: BS001."
"Bagaimana status rekanan CAHAYA INTI CEMERLANG LAMPUNG?","CAHAYA INTI CEMERLANG LAMPUNG memiliki status rekanan Registered."
"Apa bidang usaha CAHAYA INTI CEMERLANG LAMPUNG?","CAHAYA INTI CEMERLANG LAMPUNG bergerak di bidang Supplier Menengah, (Tidak diketahui)."
"Dimana lokasi atau provinsi CAHAYA INTI CEMERLANG LAMPUNG?","CAHAYA INTI CEMERLANG LAMPUNG berlokasi di Banten."
"Apa kualifikasi perusahaan untuk CAHAYA INTI CEMERLANG LAMPUNG?","Kualifikasi perusahaan CAHAYA INTI CEMERLANG LAMPUNG adalah CV."
"Siapa CHALYSINDO CHATRA UTAMA?","CHALYSINDO CHATRA UTAMA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Supplier Menengah, berlokasi di DKI Jakarta. Kode SBU: IT002."
"Bagaimana status rekanan CHALYSINDO CHATRA UTAMA?","CHALYSINDO CHATRA UTAMA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha CHALYSINDO CHATRA UTAMA?","CHALYSINDO CHATRA UTAMA bergerak di bidang Supplier Menengah (BETON READY MIX, SUPPLIER)."
"Dimana lokasi atau provinsi CHALYSINDO CHATRA UTAMA?","CHALYSINDO CHATRA UTAMA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk CHALYSINDO CHATRA UTAMA?","Kualifikasi perusahaan CHALYSINDO CHATRA UTAMA adalah PT."
"Siapa SPECTRA ODELIA SHORAI?","SPECTRA ODELIA SHORAI adalah vendor dengan status Registered, kualifikasi CV, di bidang Tidak diketahui, berlokasi di DI Aceh. Kode SBU: BS005."
"Bagaimana status rekanan SPECTRA ODELIA SHORAI?","SPECTRA ODELIA SHORAI memiliki status rekanan Registered."
"Apa bidang usaha SPECTRA ODELIA SHORAI?","SPECTRA ODELIA SHORAI bergerak di bidang Tidak diketahui (Tidak diketahui)."
"Dimana lokasi atau provinsi SPECTRA ODELIA SHORAI?","SPECTRA ODELIA SHORAI berlokasi di DI Aceh."
"Apa kualifikasi perusahaan untuk SPECTRA ODELIA SHORAI?","Kualifikasi perusahaan SPECTRA ODELIA SHORAI adalah CV."
"Siapa WAHANA AGFA KREASI?","WAHANA AGFA KREASI adalah vendor dengan status Unverified, kualifikasi PT, di bidang Supplier Menengah, berlokasi di Jawa Barat. Kode SBU: BS001."
"Bagaimana status rekanan WAHANA AGFA KREASI?","WAHANA AGFA KREASI memiliki status rekanan Unverified."
"Apa bidang usaha WAHANA AGFA KREASI?","WAHANA AGFA KREASI bergerak di bidang Supplier Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi WAHANA AGFA KREASI?","WAHANA AGFA KREASI berlokasi di Jawa Barat."
"Apa kualifikasi perusahaan untuk WAHANA AGFA KREASI?","Kualifikasi perusahaan WAHANA AGFA KREASI adalah PT."
"Siapa Miranila Abadi?","Miranila Abadi adalah vendor dengan status Registered, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Barat. Kode SBU: KK012."
"Bagaimana status rekanan Miranila Abadi?","Miranila Abadi memiliki status rekanan Registered."
"Apa bidang usaha Miranila Abadi?","Miranila Abadi bergerak di bidang Sub Kontraktor Kecil dan Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi Miranila Abadi?","Miranila Abadi berlokasi di Jawa Barat."
"Apa kualifikasi perusahaan untuk Miranila Abadi?","Kualifikasi perusahaan Miranila Abadi adalah PT."
"Siapa CIPTA ANDALAN PERSADA?","CIPTA ANDALAN PERSADA adalah vendor dengan status Registered, kualifikasi PT, di bidang Supplier Menengah,, berlokasi di Kalimantan Timur. Kode SBU: RK001."
"Bagaimana status rekanan CIPTA ANDALAN PERSADA?","CIPTA ANDALAN PERSADA memiliki status rekanan Registered."
"Apa bidang usaha CIPTA ANDALAN PERSADA?","CIPTA ANDALAN PERSADA bergerak di bidang Supplier Menengah, (Tidak diketahui)."
"Dimana lokasi atau provinsi CIPTA ANDALAN PERSADA?","CIPTA ANDALAN PERSADA berlokasi di Kalimantan Timur."
"Apa kualifikasi perusahaan untuk CIPTA ANDALAN PERSADA?","Kualifikasi perusahaan CIPTA ANDALAN PERSADA adalah PT."
"Siapa DINAMIKA SENTOSA RAYA?","DINAMIKA SENTOSA RAYA adalah vendor dengan status Rekanan Terdaftar, kualifikasi CV, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Timur. Kode SBU: BS004."
"Bagaimana status rekanan DINAMIKA SENTOSA RAYA?","DINAMIKA SENTOSA RAYA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha DINAMIKA SENTOSA RAYA?","DINAMIKA SENTOSA RAYA bergerak di bidang Sub Kontraktor Kecil dan Menengah (ACP / ALUMINIUM COMPOSITE PANEL, SUBKON ;)."
"Dimana lokasi atau provinsi DINAMIKA SENTOSA RAYA?","DINAMIKA SENTOSA RAYA berlokasi di Jawa Timur."
"Apa kualifikasi perusahaan untuk DINAMIKA SENTOSA RAYA?","Kualifikasi perusahaan DINAMIKA SENTOSA RAYA adalah CV."
"Siapa PUTRA PALOH?","PUTRA PALOH adalah vendor dengan status Unverified, kualifikasi Persekutuan Perdata Lainnya, di bidang Konsultan Konstruksi, berlokasi di DKI Jakarta. Kode SBU: BS004."
"Bagaimana status rekanan PUTRA PALOH?","PUTRA PALOH memiliki status rekanan Unverified."
"Apa bidang usaha PUTRA PALOH?","PUTRA PALOH bergerak di bidang Konsultan Konstruksi (HOTEL / PENGINAPAN ;)."
"Dimana lokasi atau provinsi PUTRA PALOH?","PUTRA PALOH berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk PUTRA PALOH?","Kualifikasi perusahaan PUTRA PALOH adalah Persekutuan Perdata Lainnya."
"Siapa SURYA SEJAHTERA PERKASA?","SURYA SEJAHTERA PERKASA adalah vendor dengan status Registered, kualifikasi CV, di bidang Tidak diketahui, berlokasi di DI Aceh. Kode SBU: BG006."
"Bagaimana status rekanan SURYA SEJAHTERA PERKASA?","SURYA SEJAHTERA PERKASA memiliki status rekanan Registered."
"Apa bidang usaha SURYA SEJAHTERA PERKASA?","SURYA SEJAHTERA PERKASA bergerak di bidang Tidak diketahui (Tidak diketahui)."
"Dimana lokasi atau provinsi SURYA SEJAHTERA PERKASA?","SURYA SEJAHTERA PERKASA berlokasi di DI Aceh."
"Apa kualifikasi perusahaan untuk SURYA SEJAHTERA PERKASA?","Kualifikasi perusahaan SURYA SEJAHTERA PERKASA adalah CV."
"Siapa PT. KANE PERKASA INDONESIA?","PT. KANE PERKASA INDONESIA adalah vendor dengan status Unverified, kualifikasi PT, di bidang Supplier, berlokasi di Tidak diketahui. Kode SBU: PL003."
"Bagaimana status rekanan PT. KANE PERKASA INDONESIA?","PT. KANE PERKASA INDONESIA memiliki status rekanan Unverified."
"Apa bidang usaha PT. KANE PERKASA INDONESIA?","PT. KANE PERKASA INDONESIA bergerak di bidang Supplier (Tidak diketahui)."
"Dimana lokasi atau provinsi PT. KANE PERKASA INDONESIA?","PT. KANE PERKASA INDONESIA berlokasi di Tidak diketahui."
"Apa kualifikasi perusahaan untuk PT. KANE PERKASA INDONESIA?","Kualifikasi perusahaan PT. KANE PERKASA INDONESIA adalah PT."
"Siapa Struktur Pintar Indonesia?","Struktur Pintar Indonesia adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Kep Riau. Kode SBU: BS008."
"Bagaimana status rekanan Struktur Pintar Indonesia?","Struktur Pintar Indonesia memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha Struktur Pintar Indonesia?","Struktur Pintar Indonesia bergerak di bidang Sub Kontraktor Kecil dan Menengah (GALIAN & TIMBUNAN, SUBKON)."
"Dimana lokasi atau provinsi Struktur Pintar Indonesia?","Struktur Pintar Indonesia berlokasi di Kep Riau."
"Apa kualifikasi perusahaan untuk Struktur Pintar Indonesia?","Kualifikasi perusahaan Struktur Pintar Indonesia adalah PT."
"Siapa DWI UNGGUL ABADI?","DWI UNGGUL ABADI adalah vendor dengan status Registered, kualifikasi PT, di bidang Tidak diketahui, berlokasi di DI Aceh. Kode SBU: KK011."
"Bagaimana status rekanan DWI UNGGUL ABADI?","DWI UNGGUL ABADI memiliki status rekanan Registered."
"Apa bidang usaha DWI UNGGUL ABADI?","DWI UNGGUL ABADI bergerak di bidang Tidak diketahui (Tidak diketahui)."
"Dimana lokasi atau provinsi DWI UNGGUL ABADI?","DWI UNGGUL ABADI berlokasi di DI Aceh."
"Apa kualifikasi perusahaan untuk DWI UNGGUL ABADI?","Kualifikasi perusahaan DWI UNGGUL ABADI adalah PT."
"Siapa Tiga Kurnia Sukses Makmurabadi?","Tiga Kurnia Sukses Makmurabadi adalah vendor dengan status Registered, kualifikasi PT, di bidang Supplier Menengah, berlokasi di DKI Jakarta. Kode SBU: IN008."
"Bagaimana status rekanan Tiga Kurnia Sukses Makmurabadi?","Tiga Kurnia Sukses Makmurabadi memiliki status rekanan Registered."
"Apa bidang usaha Tiga Kurnia Sukses Makmurabadi?","Tiga Kurnia Sukses Makmurabadi bergerak di bidang Supplier Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi Tiga Kurnia Sukses Makmurabadi?","Tiga Kurnia Sukses Makmurabadi berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk Tiga Kurnia Sukses Makmurabadi?","Kualifikasi perusahaan Tiga Kurnia Sukses Makmurabadi adalah PT."
"Siapa CIGADING HABEAM CENTRE?","CIGADING HABEAM CENTRE adalah vendor dengan status Unverified, kualifikasi PT, di bidang Supplier, berlokasi di DKI Jakarta. Kode SBU: KK016."
"Bagaimana status rekanan CIGADING HABEAM CENTRE?","CIGADING HABEAM CENTRE memiliki status rekanan Unverified."
"Apa bidang usaha CIGADING HABEAM CENTRE?","CIGADING HABEAM CENTRE bergerak di bidang Supplier (Tidak diketahui)."
