Pertanyaan,Jawaban
"Apa status rekanan Gading Semesta Utama?","Gading Semesta Utama memiliki status rekanan Unverified."
"Apa bidang usaha Gading Semesta Utama?","Gading Semesta Utama bergerak di bidang Sewa Alat."
"Dimana lokasi Gading Semesta Utama?","Gading Semesta Utama berlokasi di Jawa Tengah Central."
"Cari vendor Gading Semesta Utama","Gading Semesta Utama adalah vendor dengan status Unverified, di bidang Sewa Alat, berlokasi di Jawa Tengah Central. Kode SBU: PL004."
"Berikan informasi lengkap tentang Gading Semesta Utama","Gading Semesta Utama adalah vendor dengan status Unverified, di bidang Sewa Alat, berlokasi di Jawa Tengah Central. Kode SBU: PL004."
"Siapa DION BROTHERS?","DION BROTHERS adalah vendor dengan status Unverified, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Timur East Java. Kode SBU: BG006."
"Apa status rekanan DION BROTHERS?","DION BROTHERS memiliki status rekanan Unverified."
"Apa bidang usaha DION BROTHERS?","DION BROTHERS bergerak di bidang Sub Kontraktor Kecil dan Menengah."
"Dimana lokasi DION BROTHERS?","DION BROTHERS berlokasi di Jawa Timur East Java."
"Cari vendor DION BROTHERS","DION BROTHERS adalah vendor dengan status Unverified, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Timur East Java. Kode SBU: BG006."
"Berikan informasi lengkap tentang DION BROTHERS","DION BROTHERS adalah vendor dengan status Unverified, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Timur East Java. Kode SBU: BG006."
"Siapa BUDI PERKASA ALAM?","BUDI PERKASA ALAM adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, di bidang Sewa Alat, berlokasi di DKI Jakarta Jakarta. Kode SBU: IN004."
"Apa status rekanan BUDI PERKASA ALAM?","BUDI PERKASA ALAM memiliki status rekanan Calon Rekanan Waskita Approved Level 1."
"Apa bidang usaha BUDI PERKASA ALAM?","BUDI PERKASA ALAM bergerak di bidang Sewa Alat."
"Dimana lokasi BUDI PERKASA ALAM?","BUDI PERKASA ALAM berlokasi di DKI Jakarta Jakarta."
"Cari vendor BUDI PERKASA ALAM","BUDI PERKASA ALAM adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, di bidang Sewa Alat, berlokasi di DKI Jakarta Jakarta. Kode SBU: IN004."
"Berikan informasi lengkap tentang BUDI PERKASA ALAM","BUDI PERKASA ALAM adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, di bidang Sewa Alat, berlokasi di DKI Jakarta Jakarta. Kode SBU: IN004."
"Siapa MIRA?","MIRA adalah vendor dengan status Unverified, di bidang Supplier Besar, berlokasi di DKI Jakarta Jakarta. Industry: UNKNOWN-DATA COMPLETE. Kode SBU: BS012."
"Apa status rekanan MIRA?","MIRA memiliki status rekanan Unverified."
"Apa bidang usaha MIRA?","MIRA bergerak di bidang Supplier Besar."
"Dimana lokasi MIRA?","MIRA berlokasi di DKI Jakarta Jakarta."
"Apa industry key MIRA?","MIRA memiliki industry key: UNKNOWN-DATA COMPLETE."
"Cari vendor MIRA","MIRA adalah vendor dengan status Unverified, di bidang Supplier Besar, berlokasi di DKI Jakarta Jakarta. Industry: UNKNOWN-DATA COMPLETE. Kode SBU: BS012."
"Berikan informasi lengkap tentang MIRA","MIRA adalah vendor dengan status Unverified, di bidang Supplier Besar, berlokasi di DKI Jakarta Jakarta. Industry: UNKNOWN-DATA COMPLETE. Kode SBU: BS012."
"Siapa PILAR UNGGUL SEJAHTERA?","PILAR UNGGUL SEJAHTERA adalah vendor dengan status Unverified, di bidang Sub Kontraktor, berlokasi di Lampung Lampung. Kode SBU: BS001."
"Apa status rekanan PILAR UNGGUL SEJAHTERA?","PILAR UNGGUL SEJAHTERA memiliki status rekanan Unverified."
"Apa bidang usaha PILAR UNGGUL SEJAHTERA?","PILAR UNGGUL SEJAHTERA bergerak di bidang Sub Kontraktor."
"Dimana lokasi PILAR UNGGUL SEJAHTERA?","PILAR UNGGUL SEJAHTERA berlokasi di Lampung Lampung."
"Cari vendor PILAR UNGGUL SEJAHTERA","PILAR UNGGUL SEJAHTERA adalah vendor dengan status Unverified, di bidang Sub Kontraktor, berlokasi di Lampung Lampung. Kode SBU: BS001."
"Berikan informasi lengkap tentang PILAR UNGGUL SEJAHTERA","PILAR UNGGUL SEJAHTERA adalah vendor dengan status Unverified, di bidang Sub Kontraktor, berlokasi di Lampung Lampung. Kode SBU: BS001."
"Siapa MULTI CITRA KSO?","MULTI CITRA KSO adalah vendor dengan status Rekanan Terdaftar, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di Jawa Barat West Java. Industry: TEKNOLOGI INFORMASI / IT. Kode SBU: BS002."
"Apa status rekanan MULTI CITRA KSO?","MULTI CITRA KSO memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha MULTI CITRA KSO?","MULTI CITRA KSO bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi."
"Dimana lokasi MULTI CITRA KSO?","MULTI CITRA KSO berlokasi di Jawa Barat West Java."
"Apa industry key MULTI CITRA KSO?","MULTI CITRA KSO memiliki industry key: TEKNOLOGI INFORMASI / IT."
"Cari vendor MULTI CITRA KSO","MULTI CITRA KSO adalah vendor dengan status Rekanan Terdaftar, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di Jawa Barat West Java. Industry: TEKNOLOGI INFORMASI / IT. Kode SBU: BS002."
"Berikan informasi lengkap tentang MULTI CITRA KSO","MULTI CITRA KSO adalah vendor dengan status Rekanan Terdaftar, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di Jawa Barat West Java. Industry: TEKNOLOGI INFORMASI / IT. Kode SBU: BS002."
"Siapa KAPUAS MUSI MADELYN?","KAPUAS MUSI MADELYN adalah vendor dengan status Registered, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di Sumatera Selatan Sou. Kode SBU: PL003."
"Apa status rekanan KAPUAS MUSI MADELYN?","KAPUAS MUSI MADELYN memiliki status rekanan Registered."
"Apa bidang usaha KAPUAS MUSI MADELYN?","KAPUAS MUSI MADELYN bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi."
"Dimana lokasi KAPUAS MUSI MADELYN?","KAPUAS MUSI MADELYN berlokasi di Sumatera Selatan Sou."
"Cari vendor KAPUAS MUSI MADELYN","KAPUAS MUSI MADELYN adalah vendor dengan status Registered, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di Sumatera Selatan Sou. Kode SBU: PL003."
"Berikan informasi lengkap tentang KAPUAS MUSI MADELYN","KAPUAS MUSI MADELYN adalah vendor dengan status Registered, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di Sumatera Selatan Sou. Kode SBU: PL003."
"Siapa TIMUR PERKASA?","TIMUR PERKASA adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Industry: GALIAN & TIMBUNAN, SUBKON ;. Kode SBU: BS004."
"Apa status rekanan TIMUR PERKASA?","TIMUR PERKASA memiliki status rekanan Calon Rekanan Waskita Approved Level 1."
"Apa bidang usaha TIMUR PERKASA?","TIMUR PERKASA bergerak di bidang Sub Kontraktor Kecil dan Menengah."
"Dimana lokasi TIMUR PERKASA?","TIMUR PERKASA berlokasi di DKI Jakarta Jakarta."
"Apa industry key TIMUR PERKASA?","TIMUR PERKASA memiliki industry key: GALIAN & TIMBUNAN, SUBKON ;."
"Cari vendor TIMUR PERKASA","TIMUR PERKASA adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Industry: GALIAN & TIMBUNAN, SUBKON ;. Kode SBU: BS004."
"Berikan informasi lengkap tentang TIMUR PERKASA","TIMUR PERKASA adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Industry: GALIAN & TIMBUNAN, SUBKON ;. Kode SBU: BS004."
"Siapa UOLA PANDAWA SEJAHTERA?","UOLA PANDAWA SEJAHTERA adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Besar, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 59 Medium Risk (Version 2). Industry: GALIAN & TIMBUNAN, SUBKON ;. Kode SBU: IN001."
"Apa status rekanan UOLA PANDAWA SEJAHTERA?","UOLA PANDAWA SEJAHTERA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha UOLA PANDAWA SEJAHTERA?","UOLA PANDAWA SEJAHTERA bergerak di bidang Sub Kontraktor Besar."
"Dimana lokasi UOLA PANDAWA SEJAHTERA?","UOLA PANDAWA SEJAHTERA berlokasi di DKI Jakarta Jakarta."
"Apa status CQSMS UOLA PANDAWA SEJAHTERA?","UOLA PANDAWA SEJAHTERA memiliki status CQSMS: Sub Kontraktor : 59 Medium Risk (Version 2)."
"Apa industry key UOLA PANDAWA SEJAHTERA?","UOLA PANDAWA SEJAHTERA memiliki industry key: GALIAN & TIMBUNAN, SUBKON ;."
"Cari vendor UOLA PANDAWA SEJAHTERA","UOLA PANDAWA SEJAHTERA adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Besar, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 59 Medium Risk (Version 2). Industry: GALIAN & TIMBUNAN, SUBKON ;. Kode SBU: IN001."
"Berikan informasi lengkap tentang UOLA PANDAWA SEJAHTERA","UOLA PANDAWA SEJAHTERA adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Besar, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 59 Medium Risk (Version 2). Industry: GALIAN & TIMBUNAN, SUBKON ;. Kode SBU: IN001."
"Siapa JACKING PILE PRATAMA?","JACKING PILE PRATAMA adalah vendor dengan status Rekanan Terseleksi Waskita, di bidang Supplier Menengah, berlokasi di Jawa Tengah Central. Status CQSMS: Supplier : 60 Low Risk (Version 1). Industry: ALAT & MATERIAL BANTU PROYEK, SUPPLIER. Kode SBU: KK001."
"Apa status rekanan JACKING PILE PRATAMA?","JACKING PILE PRATAMA memiliki status rekanan Rekanan Terseleksi Waskita."
"Apa bidang usaha JACKING PILE PRATAMA?","JACKING PILE PRATAMA bergerak di bidang Supplier Menengah."
"Dimana lokasi JACKING PILE PRATAMA?","JACKING PILE PRATAMA berlokasi di Jawa Tengah Central."
"Apa status CQSMS JACKING PILE PRATAMA?","JACKING PILE PRATAMA memiliki status CQSMS: Supplier : 60 Low Risk (Version 1)."
"Apa industry key JACKING PILE PRATAMA?","JACKING PILE PRATAMA memiliki industry key: ALAT & MATERIAL BANTU PROYEK, SUPPLIER."
"Cari vendor JACKING PILE PRATAMA","JACKING PILE PRATAMA adalah vendor dengan status Rekanan Terseleksi Waskita, di bidang Supplier Menengah, berlokasi di Jawa Tengah Central. Status CQSMS: Supplier : 60 Low Risk (Version 1). Industry: ALAT & MATERIAL BANTU PROYEK, SUPPLIER. Kode SBU: KK001."
"Berikan informasi lengkap tentang JACKING PILE PRATAMA","JACKING PILE PRATAMA adalah vendor dengan status Rekanan Terseleksi Waskita, di bidang Supplier Menengah, berlokasi di Jawa Tengah Central. Status CQSMS: Supplier : 60 Low Risk (Version 1). Industry: ALAT & MATERIAL BANTU PROYEK, SUPPLIER. Kode SBU: KK001."
"Siapa CV JUHD SHADIQ MAKMUR?","CV JUHD SHADIQ MAKMUR adalah vendor dengan status Rekanan Terseleksi Waskita, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta Jakarta. Industry: TEKNOLOGI INFORMASI / IT. Kode SBU: BS004."
"Apa status rekanan CV JUHD SHADIQ MAKMUR?","CV JUHD SHADIQ MAKMUR memiliki status rekanan Rekanan Terseleksi Waskita."
"Apa bidang usaha CV JUHD SHADIQ MAKMUR?","CV JUHD SHADIQ MAKMUR bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi."
"Dimana lokasi CV JUHD SHADIQ MAKMUR?","CV JUHD SHADIQ MAKMUR berlokasi di DKI Jakarta Jakarta."
"Apa industry key CV JUHD SHADIQ MAKMUR?","CV JUHD SHADIQ MAKMUR memiliki industry key: TEKNOLOGI INFORMASI / IT."
"Cari vendor CV JUHD SHADIQ MAKMUR","CV JUHD SHADIQ MAKMUR adalah vendor dengan status Rekanan Terseleksi Waskita, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta Jakarta. Industry: TEKNOLOGI INFORMASI / IT. Kode SBU: BS004."
"Berikan informasi lengkap tentang CV JUHD SHADIQ MAKMUR","CV JUHD SHADIQ MAKMUR adalah vendor dengan status Rekanan Terseleksi Waskita, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta Jakarta. Industry: TEKNOLOGI INFORMASI / IT. Kode SBU: BS004."
"Siapa Bumi Beam Center?","Bumi Beam Center adalah vendor dengan status Unverified, di bidang Sewa Alat,, berlokasi di Kalimantan Timur Eas. Industry: UNKNOWN-DATA COMPLETE. Kode SBU: BG003."
"Apa status rekanan Bumi Beam Center?","Bumi Beam Center memiliki status rekanan Unverified."
"Apa bidang usaha Bumi Beam Center?","Bumi Beam Center bergerak di bidang Sewa Alat,."
"Dimana lokasi Bumi Beam Center?","Bumi Beam Center berlokasi di Kalimantan Timur Eas."
"Apa industry key Bumi Beam Center?","Bumi Beam Center memiliki industry key: UNKNOWN-DATA COMPLETE."
"Cari vendor Bumi Beam Center","Bumi Beam Center adalah vendor dengan status Unverified, di bidang Sewa Alat,, berlokasi di Kalimantan Timur Eas. Industry: UNKNOWN-DATA COMPLETE. Kode SBU: BG003."
"Berikan informasi lengkap tentang Bumi Beam Center","Bumi Beam Center adalah vendor dengan status Unverified, di bidang Sewa Alat,, berlokasi di Kalimantan Timur Eas. Industry: UNKNOWN-DATA COMPLETE. Kode SBU: BG003."
"Siapa WAKIDS MANDIRI?","WAKIDS MANDIRI adalah vendor dengan status Unverified, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Sumatera Utara North. Industry: AIR CONDITIONING / AC & FAN, SUPPLIER. Kode SBU: BS001."
"Apa status rekanan WAKIDS MANDIRI?","WAKIDS MANDIRI memiliki status rekanan Unverified."
"Apa bidang usaha WAKIDS MANDIRI?","WAKIDS MANDIRI bergerak di bidang Sub Kontraktor Kecil dan Menengah."
"Dimana lokasi WAKIDS MANDIRI?","WAKIDS MANDIRI berlokasi di Sumatera Utara North."
"Apa industry key WAKIDS MANDIRI?","WAKIDS MANDIRI memiliki industry key: AIR CONDITIONING / AC & FAN, SUPPLIER."
"Cari vendor WAKIDS MANDIRI","WAKIDS MANDIRI adalah vendor dengan status Unverified, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Sumatera Utara North. Industry: AIR CONDITIONING / AC & FAN, SUPPLIER. Kode SBU: BS001."
"Berikan informasi lengkap tentang WAKIDS MANDIRI","WAKIDS MANDIRI adalah vendor dengan status Unverified, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Sumatera Utara North. Industry: AIR CONDITIONING / AC & FAN, SUPPLIER. Kode SBU: BS001."
"Siapa SUMBER NUSANTARA ADITYA PRATAMA?","SUMBER NUSANTARA ADITYA PRATAMA adalah vendor dengan status Unverified, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta Jakarta. Kode SBU: PL003."
"Apa status rekanan SUMBER NUSANTARA ADITYA PRATAMA?","SUMBER NUSANTARA ADITYA PRATAMA memiliki status rekanan Unverified."
"Apa bidang usaha SUMBER NUSANTARA ADITYA PRATAMA?","SUMBER NUSANTARA ADITYA PRATAMA bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi."
"Dimana lokasi SUMBER NUSANTARA ADITYA PRATAMA?","SUMBER NUSANTARA ADITYA PRATAMA berlokasi di DKI Jakarta Jakarta."
"Cari vendor SUMBER NUSANTARA ADITYA PRATAMA","SUMBER NUSANTARA ADITYA PRATAMA adalah vendor dengan status Unverified, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta Jakarta. Kode SBU: PL003."
"Berikan informasi lengkap tentang SUMBER NUSANTARA ADITYA PRATAMA","SUMBER NUSANTARA ADITYA PRATAMA adalah vendor dengan status Unverified, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta Jakarta. Kode SBU: PL003."
"Siapa CV CIPTA PRIMA ENGINEERING?","CV CIPTA PRIMA ENGINEERING adalah vendor dengan status Registered, berlokasi di DI Aceh Aceh. Kode SBU: RK001."
"Apa status rekanan CV CIPTA PRIMA ENGINEERING?","CV CIPTA PRIMA ENGINEERING memiliki status rekanan Registered."
"Dimana lokasi CV CIPTA PRIMA ENGINEERING?","CV CIPTA PRIMA ENGINEERING berlokasi di DI Aceh Aceh."
"Cari vendor CV CIPTA PRIMA ENGINEERING","CV CIPTA PRIMA ENGINEERING adalah vendor dengan status Registered, berlokasi di DI Aceh Aceh. Kode SBU: RK001."
"Berikan informasi lengkap tentang CV CIPTA PRIMA ENGINEERING","CV CIPTA PRIMA ENGINEERING adalah vendor dengan status Registered, berlokasi di DI Aceh Aceh. Kode SBU: RK001."
"Siapa SUN UTAMA KONSTRUKSI?","SUN UTAMA KONSTRUKSI adalah vendor dengan status Unverified, di bidang Supplier Besar,, berlokasi di DKI Jakarta Jakarta. Industry: RUBBER SPECIALIST, SUBKON ;. Kode SBU: BS001."
"Apa status rekanan SUN UTAMA KONSTRUKSI?","SUN UTAMA KONSTRUKSI memiliki status rekanan Unverified."
"Apa bidang usaha SUN UTAMA KONSTRUKSI?","SUN UTAMA KONSTRUKSI bergerak di bidang Supplier Besar,."
"Dimana lokasi SUN UTAMA KONSTRUKSI?","SUN UTAMA KONSTRUKSI berlokasi di DKI Jakarta Jakarta."
"Apa industry key SUN UTAMA KONSTRUKSI?","SUN UTAMA KONSTRUKSI memiliki industry key: RUBBER SPECIALIST, SUBKON ;."
"Cari vendor SUN UTAMA KONSTRUKSI","SUN UTAMA KONSTRUKSI adalah vendor dengan status Unverified, di bidang Supplier Besar,, berlokasi di DKI Jakarta Jakarta. Industry: RUBBER SPECIALIST, SUBKON ;. Kode SBU: BS001."
"Berikan informasi lengkap tentang SUN UTAMA KONSTRUKSI","SUN UTAMA KONSTRUKSI adalah vendor dengan status Unverified, di bidang Supplier Besar,, berlokasi di DKI Jakarta Jakarta. Industry: RUBBER SPECIALIST, SUBKON ;. Kode SBU: BS001."
"Siapa JAYA SOLUSI CEMERLANG?","JAYA SOLUSI CEMERLANG adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Barat West Java. Status CQSMS: Sub Kontraktor : 38 Low Risk (Version 3), Supplier : 65 Medium Risk (Version 1). Industry: BEKISTING / FORMWORK INFRASTRUCTURE, SUBKON. Kode SBU: BS009."
"Apa status rekanan JAYA SOLUSI CEMERLANG?","JAYA SOLUSI CEMERLANG memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha JAYA SOLUSI CEMERLANG?","JAYA SOLUSI CEMERLANG bergerak di bidang Sub Kontraktor Kecil dan Menengah."
"Dimana lokasi JAYA SOLUSI CEMERLANG?","JAYA SOLUSI CEMERLANG berlokasi di Jawa Barat West Java."
"Apa status CQSMS JAYA SOLUSI CEMERLANG?","JAYA SOLUSI CEMERLANG memiliki status CQSMS: Sub Kontraktor : 38 Low Risk (Version 3), Supplier : 65 Medium Risk (Version 1)."
"Apa industry key JAYA SOLUSI CEMERLANG?","JAYA SOLUSI CEMERLANG memiliki industry key: BEKISTING / FORMWORK INFRASTRUCTURE, SUBKON."
"Cari vendor JAYA SOLUSI CEMERLANG","JAYA SOLUSI CEMERLANG adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Barat West Java. Status CQSMS: Sub Kontraktor : 38 Low Risk (Version 3), Supplier : 65 Medium Risk (Version 1). Industry: BEKISTING / FORMWORK INFRASTRUCTURE, SUBKON. Kode SBU: BS009."
"Berikan informasi lengkap tentang JAYA SOLUSI CEMERLANG","JAYA SOLUSI CEMERLANG adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Barat West Java. Status CQSMS: Sub Kontraktor : 38 Low Risk (Version 3), Supplier : 65 Medium Risk (Version 1). Industry: BEKISTING / FORMWORK INFRASTRUCTURE, SUBKON. Kode SBU: BS009."
"Siapa CIPTA MARGA MANDIRI?","CIPTA MARGA MANDIRI adalah vendor dengan status Unverified, di bidang Supplier Menengah, berlokasi di Jawa Barat West Java. Industry: ELECTRICAL PANELS ( HV , MV , LV ), SUPPLIER. Kode SBU: BS009."
"Apa status rekanan CIPTA MARGA MANDIRI?","CIPTA MARGA MANDIRI memiliki status rekanan Unverified."
"Apa bidang usaha CIPTA MARGA MANDIRI?","CIPTA MARGA MANDIRI bergerak di bidang Supplier Menengah."
"Dimana lokasi CIPTA MARGA MANDIRI?","CIPTA MARGA MANDIRI berlokasi di Jawa Barat West Java."
"Apa industry key CIPTA MARGA MANDIRI?","CIPTA MARGA MANDIRI memiliki industry key: ELECTRICAL PANELS ( HV , MV , LV ), SUPPLIER."
"Cari vendor CIPTA MARGA MANDIRI","CIPTA MARGA MANDIRI adalah vendor dengan status Unverified, di bidang Supplier Menengah, berlokasi di Jawa Barat West Java. Industry: ELECTRICAL PANELS ( HV , MV , LV ), SUPPLIER. Kode SBU: BS009."
"Berikan informasi lengkap tentang CIPTA MARGA MANDIRI","CIPTA MARGA MANDIRI adalah vendor dengan status Unverified, di bidang Supplier Menengah, berlokasi di Jawa Barat West Java. Industry: ELECTRICAL PANELS ( HV , MV , LV ), SUPPLIER. Kode SBU: BS009."
"Siapa PRIMA PONDASI PERKASA?","PRIMA PONDASI PERKASA adalah vendor dengan status Unverified, di bidang Sub Kontraktor, berlokasi di Kalimantan Tengah Ce. Kode SBU: KK001."
"Apa status rekanan PRIMA PONDASI PERKASA?","PRIMA PONDASI PERKASA memiliki status rekanan Unverified."
"Apa bidang usaha PRIMA PONDASI PERKASA?","PRIMA PONDASI PERKASA bergerak di bidang Sub Kontraktor."
"Dimana lokasi PRIMA PONDASI PERKASA?","PRIMA PONDASI PERKASA berlokasi di Kalimantan Tengah Ce."
"Cari vendor PRIMA PONDASI PERKASA","PRIMA PONDASI PERKASA adalah vendor dengan status Unverified, di bidang Sub Kontraktor, berlokasi di Kalimantan Tengah Ce. Kode SBU: KK001."
"Berikan informasi lengkap tentang PRIMA PONDASI PERKASA","PRIMA PONDASI PERKASA adalah vendor dengan status Unverified, di bidang Sub Kontraktor, berlokasi di Kalimantan Tengah Ce. Kode SBU: KK001."
"Siapa RAJA MUDA ABADI?","RAJA MUDA ABADI adalah vendor dengan status Registered, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Timur East Java. Industry: PAGAR PEMBATAS TOL / JALAN, SUBKON. Kode SBU: BS016."
"Apa status rekanan RAJA MUDA ABADI?","RAJA MUDA ABADI memiliki status rekanan Registered."
"Apa bidang usaha RAJA MUDA ABADI?","RAJA MUDA ABADI bergerak di bidang Sub Kontraktor Kecil dan Menengah."
"Dimana lokasi RAJA MUDA ABADI?","RAJA MUDA ABADI berlokasi di Jawa Timur East Java."
"Apa industry key RAJA MUDA ABADI?","RAJA MUDA ABADI memiliki industry key: PAGAR PEMBATAS TOL / JALAN, SUBKON."
"Cari vendor RAJA MUDA ABADI","RAJA MUDA ABADI adalah vendor dengan status Registered, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Timur East Java. Industry: PAGAR PEMBATAS TOL / JALAN, SUBKON. Kode SBU: BS016."
"Berikan informasi lengkap tentang RAJA MUDA ABADI","RAJA MUDA ABADI adalah vendor dengan status Registered, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Timur East Java. Industry: PAGAR PEMBATAS TOL / JALAN, SUBKON. Kode SBU: BS016."
"Siapa TATA KREASINDO JAYA?","TATA KREASINDO JAYA adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah, berlokasi di Banten. Status CQSMS: Supplier : 63 Medium Risk (Version 1). Kode SBU: BS008."
"Apa status rekanan TATA KREASINDO JAYA?","TATA KREASINDO JAYA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha TATA KREASINDO JAYA?","TATA KREASINDO JAYA bergerak di bidang Supplier Menengah."
"Dimana lokasi TATA KREASINDO JAYA?","TATA KREASINDO JAYA berlokasi di Banten."
"Apa status CQSMS TATA KREASINDO JAYA?","TATA KREASINDO JAYA memiliki status CQSMS: Supplier : 63 Medium Risk (Version 1)."
"Cari vendor TATA KREASINDO JAYA","TATA KREASINDO JAYA adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah, berlokasi di Banten. Status CQSMS: Supplier : 63 Medium Risk (Version 1). Kode SBU: BS008."
"Berikan informasi lengkap tentang TATA KREASINDO JAYA","TATA KREASINDO JAYA adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah, berlokasi di Banten. Status CQSMS: Supplier : 63 Medium Risk (Version 1). Kode SBU: BS008."
"Siapa CV KING MAKMUR SENTOSA?","CV KING MAKMUR SENTOSA adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, di bidang Supplier, berlokasi di Banten. Kode SBU: BG009."
"Apa status rekanan CV KING MAKMUR SENTOSA?","CV KING MAKMUR SENTOSA memiliki status rekanan Calon Rekanan Waskita Approved Level 1."
"Apa bidang usaha CV KING MAKMUR SENTOSA?","CV KING MAKMUR SENTOSA bergerak di bidang Supplier."
"Dimana lokasi CV KING MAKMUR SENTOSA?","CV KING MAKMUR SENTOSA berlokasi di Banten."
"Cari vendor CV KING MAKMUR SENTOSA","CV KING MAKMUR SENTOSA adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, di bidang Supplier, berlokasi di Banten. Kode SBU: BG009."
"Berikan informasi lengkap tentang CV KING MAKMUR SENTOSA","CV KING MAKMUR SENTOSA adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, di bidang Supplier, berlokasi di Banten. Kode SBU: BG009."
"Siapa JAYA MEGAH KENCANA?","JAYA MEGAH KENCANA adalah vendor dengan status Rekanan Terseleksi Waskita, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta Jakarta. Industry: KONSULTAN MANAJEMEN & BISNIS. Kode SBU: BS005."
"Apa status rekanan JAYA MEGAH KENCANA?","JAYA MEGAH KENCANA memiliki status rekanan Rekanan Terseleksi Waskita."
"Apa bidang usaha JAYA MEGAH KENCANA?","JAYA MEGAH KENCANA bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi."
"Dimana lokasi JAYA MEGAH KENCANA?","JAYA MEGAH KENCANA berlokasi di DKI Jakarta Jakarta."
"Apa industry key JAYA MEGAH KENCANA?","JAYA MEGAH KENCANA memiliki industry key: KONSULTAN MANAJEMEN & BISNIS."
"Cari vendor JAYA MEGAH KENCANA","JAYA MEGAH KENCANA adalah vendor dengan status Rekanan Terseleksi Waskita, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta Jakarta. Industry: KONSULTAN MANAJEMEN & BISNIS. Kode SBU: BS005."
